rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"PICKUP_B",0,"com.redprairie.wmd.formlogic.PickupB","dcs_data","","20210202173914","NOUSER","NOUSER"
"PICKUP_TRLR",0,"com.redprairie.wmd.formlogic.PickupTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"PND_DPST",0,"com.redprairie.wmd.formlogic.PndDpst","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_PTS_DTL",0,"com.redprairie.wmd.formlogic.PrcsPtsDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CAP",0,"com.redprairie.wmd.formlogic.PrcsSerNumCap","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CAP_DTL",0,"com.redprairie.wmd.formlogic.PrcsSerNumCapDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CAP_LOD",0,"com.redprairie.wmd.formlogic.PrcsSerNumCapLod","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CAP_SUB",0,"com.redprairie.wmd.formlogic.PrcsSerNumCapSub","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CNFRM",0,"com.redprairie.wmd.formlogic.PrcsSerNumCnfrm","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CNFRM_DTL",0,"com.redprairie.wmd.formlogic.PrcsSerNumCnfrmDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_SER_NUM_CNFRM_SUB",0,"com.redprairie.wmd.formlogic.PrcsSerNumCnfrmSub","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRCS_UOM",0,"com.redprairie.wmd.formlogic.PrcsUom","dcs_data","","20210202173914","NOUSER","NOUSER"
"PRODUCT_PUT",0,"com.redprairie.wmd.formlogic.ProductPut","dcs_data","","20210202173914","NOUSER","NOUSER"
"PROMPT_TERM_ID",0,"com.redprairie.mtf.formlogic.PromptTerminalId","mtf_data","","20210202171424","NOUSER","NOUSER"
"PRTFTPDISP",0,"com.redprairie.wmd.formlogic.Prtftpdisp","dcs_data","","20210202173914","NOUSER","NOUSER"
