pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
389,30,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H135-02_ZONE","20230609113700","20230609113700","938673","938673",0
390,13,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609113724","20230609113724","938673","938673",0
391,13,2,"AND","","","","","20230609113724","20230609113724","938673","938673",0
392,13,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H135-01_ZONE","20230609113724","20230609113724","938673","938673",0
393,18,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609113751","20230609113751","938673","938673",0
394,18,2,"AND","","","","","20230609113751","20230609113751","938673","938673",0
395,18,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H245_ZONE","20230609113751","20230609113751","938673","938673",0
396,16,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609113816","20230609113816","938673","938673",0
397,16,2,"AND","","","","","20230609113816","20230609113816","938673","938673",0
398,16,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H244_ZONE","20230609113816","20230609113816","938673","938673",0
399,31,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609113844","20230609113844","938673","938673",0
400,31,2,"AND","","","","","20230609113844","20230609113844","938673","938673",0
401,31,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H135-02_ZONE","20230609113844","20230609113844","938673","938673",0
402,14,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609113916","20230609113916","938673","938673",0
403,14,2,"AND","","","","","20230609113916","20230609113916","938673","938673",0
404,14,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_H135-01_ZONE","20230609113916","20230609113916","938673","938673",0
405,10,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609113955","20230609113955","938673","938673",0
406,10,2,"AND","","","","","20230609113955","20230609113955","938673","938673",0
407,10,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H245_ZONE","20230609113955","20230609113955","938673","938673",0
408,7,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609114022","20230609114022","938673","938673",0
409,7,2,"AND","","","","","20230609114022","20230609114022","938673","938673",0
410,7,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H244_ZONE","20230609114022","20230609114022","938673","938673",0
411,29,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609114054","20230609114054","938673","938673",0
412,29,2,"AND","","","","","20230609114054","20230609114054","938673","938673",0
413,29,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_H135-02_ZONE","20230609114054","20230609114054","938673","938673",0
414,3,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609114118","20230609114118","938673","938673",0
415,3,2,"AND","","","","","20230609114119","20230609114119","938673","938673",0
