var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"attr_int5flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str10flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str11flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str12flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str13flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str14flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str15flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str16flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str17flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str18flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str1flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str2flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str3flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str4flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str5flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str6flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str7flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str8flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_str9flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"audit_by_area","LES","locaudopr","LES",0,1,1,"","",1,0,"","","dcs_data"
"audit_by_loc","LES","locaudopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"aut_create_ord","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"aut_gen_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"autclr_prcare","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"auto","LES","rcvPutaway","LES",0,1,1,"","",1,0,"","","dcs_data"
"auto","LES","rcvPutaway_1","LES",0,1,1,"","",1,0,"","","dcs_data"
"auto_add_serv","LES","SALClientMnt","LES",0,1,0,"","",0,0,"","","sal_data"
"auto_cnfrm_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"auto_commit","LES","SALSrvCmdOpr","LES",0,1,0,"","",1,0,"","","sal_data"
"auto_mov_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"auto_pop_sup_lot","LES","LES","LES",0,1,0,"","",0,0,"","","sal_data"
"auto_relpck_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"autocalcmfgdte","LES","LES","LES",0,1,1,"","",0,0,"","","dcs_data"
"autogen_flg","LES","trlrmgtopr","LES",0,1,0,"","",0,0,"","","dcs_data"
