actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"SLCAN","ORD",0,0,"",0,"","","","","","",""
"SLCHG","ORD",0,0,"",0,"","","","","","",""
"SLDEL","ORD",0,0,"",0,"","","","","","",""
"SLNEW","ORD",0,0,"",0,"","","","","","",""
"SLPLT","ORD",0,0,"",0,"","","","","","",""
"SNEW","ORD",0,0,"",0,"","","","","","",""
"SPCKCAN","ORD",0,0,"",0,"","","","","","",""
"SPLIT","ORD",0,0,"",0,"","","","","","",""
"SRPL","ORD",0,0,"",0,"","","","","","",""
"SRPLCAN","ORD",0,0,"",0,"","","","","","",""
"SSTG","GEN",0,0,"",0,"","","","","","",""
"STG_LANE_MOVE","GEN",0,1,"STG_LANE_MOVE",0,"O","","","","","",""
"STO_CASPCK","WORK",0,1,"STO_CASPCK",0,"O","","","","","",""
"STO_CASRPL","WORK",0,1,"STO_CASRPL",0,"O","","","","","",""
"STO_OTHPCK","WORK",0,1,"STO_OTHPCK",0,"O","","","","","",""
"STO_OTHRPL","WORK",0,1,"STO_OTHRPL",0,"O","","","","","",""
"STO_PALPCK","WORK",0,1,"STO_PALPCK",0,"O","","","","","",""
"STO_PALRPL","WORK",0,1,"STO_PALRPL",0,"O","","","","","",""
"STO_PCEPCK","WORK",0,1,"STO_PCEPCK",0,"O","","","","","",""
"SUMCNT","WORK",0,1,"SUMCNT",0,"P","","","","","",""
"TAG-PALLET","WORK",0,1,"TAG-PALLET",0,"O","TAG-PALLET","","","","",""
"TAUD","TRLR",0,0,"",0,"","","","","","",""
"TCHG","TRLR",0,0,"",0,"","","","","","",""
"TCHKIN","TRLR",0,0,"",0,"","","","","","",""
"TCLOSE","TRLR",0,0,"",0,"","","","","","",""
"TDSP","TRLR",0,0,"",0,"","","","","","",""
"TL","TRLR",0,0,"",0,"","","","","","",""
"TLDG","TRLR",0,0,"",0,"","","","","","",""
"TMOVE","WORK",0,1,"TMOVE",0,"P","","","","","",""
"TNEW","TRLR",0,0,"",0,"","","","","","",""
"TREMOVE","TRLR",0,0,"",0,"","","","","","",""
"TRENAME","TRLR",0,0,"",0,"","","","","","",""
"TRLR_LOAD","WORK",0,1,"TRLR_LOAD",0,"P","","","","","",""
"TRLR_UNLD","WORK",0,1,"TRLR_UNLD",0,"P","","","","","",""
"TRLRACTCLR","TRLR",0,0,"",0,"","","","","","",""
"TROPN","TRLR",0,0,"",0,"","","","","","",""
"TSRVAUDIT","TRLR",0,0,"",0,"","","","","","",""
"TSRVCHKIN","TRLR",0,0,"",0,"","","","","","",""
"TSRVDDOPR","TRLR",0,0,"",0,"","","","","","",""
"TSRVDSPCH","TRLR",0,0,"",0,"","","","","","",""
"TSRVFRMDK","TRLR",0,0,"",0,"","","","","","",""
