var_nam,appl_id,frm_id,addon_id,cust_lvl,lkp_id,ena_flg,cod_col,desc_col,add_null_flg,dis_sgl_flg,edt_flg,srt_col,grd_lkp_cols,grp_nam
"exitpnt","trlrmgtopr","servcnfvaldsp","LES",0,"l_exitpnt_for_trlr",1,"exitpnt","lngdsc",1,0,0,"","","dcs_data"
"exitpnt_typ","LES","invservmnt","LES",0,"l_exitpnt_typ_serv",1,"exitpnt_typ","lngdsc",1,0,0,"","","dcs_data"
"exitpnt_typ","LES","LES","LES",0,"l_exitpnt_typ",1,"exitpnt_typ","lngdsc",1,0,0,"","","dcs_data"
"exp_arecod","LES","chkintrlropr","LES",0,"l_arecod_exp_rcp",1,"arecod","lngdsc",0,0,0,"","","dcs_data"
"exp_arecod","LES","LES","LES",0,"l_arecod_exp_rcp",1,"arecod","lngdsc",1,0,0,"","","dcs_data"
"exp_arecod","LES","movtrlropr","LES",0,"l_arecod_exp_rcp",1,"arecod","lngdsc",0,0,0,"","","dcs_data"
"exp_arecod","LES","mstrcvstgopr","LES",0,"l_arecod_exp_rcp",1,"arecod","lngdsc",0,0,0,"","","dcs_data"
"ExpireRetryStatus","LES","LES","LES",0,"l_retrystatus",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"export_typ","LES","LES","LES",0,"l_export_typ",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"faccod","LES","LES","LES",0,"l_faccod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"fail_evt_id","LES","evtseqinfo","SEAMLES",0,"l_fail_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"fail_evt_id","LES","LES","SEAMLES",0,"l_fail_evt_id",1,"evt_id","evt_id",1,0,0,"","","int_data"
"fail_evt_id","LES","sysmnt","SEAMLES",0,"l_fail_evt_id",1,"evt_id","evt_id",1,0,0,"","","int_data"
"FailRetryStatus","LES","LES","LES",0,"l_retrystatus",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"feature_id","LES","LES","LES",0,"l_feature_id",1,"feature_id","lngdsc",1,0,0,"","","dcs_data"
"fhd_service","LES","LES","LES",0,"l_fhd_service",1,"codval","lngdsc",1,0,0,"","","sal_data"
"field_name","LES","alcrulmnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","bomdtlmnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","bommnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","LES","LES",0,"l_field_nam",1,"column_name","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","ordlinmnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","pcklstcfgmnt","LES",0,"l_field_name_ctnsel",1,"colnam","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","pcklstcfgmntoverride","LES",0,"l_field_name_ctnsel",1,"colnam","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","pcklstrulsetmnt","LES",0,"l_field_name_plr",1,"colnam","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","RCV-PLTBLD-RULE-MNT","LES",0,"l_table_field_nam",1,"column_name","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","wkodtlmnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"field_name","LES","wkomnt","LES",0,"l_field_name",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"file_cat","LES","LES","LES",0,"l_file_cat",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"file_encoding","LES","ifdasxml","SEAMLES",0,"l_encoding",1,"codval","short_dsc",0,0,0,"","","int_data"
"file_thresh","LES","LES","LES",0,"l_log_lvl",1,"codval","lngdsc",0,0,0,"","","mtf_data"
"FileViewer_Encoding","LES","LES","SEAMLES",0,"l_encoding",1,"codval","short_dsc",0,0,0,"","","int_data"
"fill_style","LES","LES","LES",0,"l_sys_dsc_mst",1,"","",0,0,0,"","","mcs_data"
"filtyp","LES","LES","LES",0,"l_filtyp",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"first_blng_day","LES","LES","LES",0,"l_first_blng_day",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"fld","LES","WCSINTMNT","LES",0,"l_wcs_fld",1,"column_name","lngdsc",0,0,0,"","","dcs_data"
"fld","LES","WCSINVRECCFGMNT","LES",0,"l_wcs_fld",1,"column_name","lngdsc",0,0,0,"","","dcs_data"
"fld_alg_id","LES","iifdsegmnt","SEAMLES",0,"l_fmt_alg_ifd_fld",1,"alg_id","alg_id",1,0,0,"","","int_data"
"fld_alg_id","LES","rifdsegmnt","SEAMLES",0,"l_fmt_alg_ifd_fld",1,"alg_id","alg_id",1,0,0,"","","int_data"
"fld_jus_cd","LES","LES","SEAMLES",0,"l_fld_jus_cd",1,"vp_val","vp_rep",0,0,0,"","","int_data"
"fld_mu","LES","LES","LES",0,"l_fld_mu",1,"mu","mu",1,0,0,"","","sal_data"
"fld_nam","LES","shpmodresmnt","LES",0,"l_fld_nam",1,"column_name","lngdsc",1,0,0,"","","dcs_data"
"fld_trm_cd","LES","LES","SEAMLES",0,"l_fld_trm_cd",1,"vp_val","vp_rep",0,0,0,"","","int_data"
"fld_typ","LES","LES","LES",0,"l_sys_dsc_mst",1,"colval","mls_text",1,0,0,"mls_text","","mcs_data"
"fld_typ","LES","PolFldMnt","LES",0,"l_pol_fld_typ",1,"","",1,0,0,"","","mcs_data"
"fld_typ","LES","PolInfMnt","LES",0,"l_pol_fld_typ_mu",1,"codval","short_dsc",1,0,0,"","","mcs_data"
"flddmt","LES","LES","LES",0,"l_flddmt",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"fltr_grp","DDAMstMnt","DDAMstFltrGrpFlds","LES",0,"l_fltr_grp",1,"fltr_grp","fltr_grp",1,0,0,"","","mcs_data"
"fmttyp","LES","LES","LES",0,"l_fmttyp",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"fr_arecod","LES","LES","LES",0,"l_arecod",1,"arecod","lngdsc",1,0,0,"","","dcs_data"
"fr_asset_stat","LES","lodunlodasset","LES",0,"l_asset_stat",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"fr_invsts","LES","LES","LES",0,"l_invsts",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"frinvs","LES","LES","LES",0,"l_invsts",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"frm_id_i","LES","PRODEFFLD","LES",0,"l_frm_id",0,"","",0,0,0,"","0","mcs_data"
"frm_id_i","LES","PRODEFMNT","LES",0,"l_frm_id",0,"","",0,0,0,"","0","mcs_data"
"frm_invsts","LES","LES","LES",0,"l_invsts_role",1,"codval","",0,0,0,"","","dcs_data"
"from_arecod","LES","LES","LES",0,"l_arecod",1,"arecod","lngdsc",1,0,0,"","","dcs_data"
"from_priority","LES","LES","LES",0,"l_priority",1,"codval","lngdsc",1,0,0,"","","ems_data"
"from_wkday","LES","LES","LES",0,"l_from_wkday",1,"codval","lngdsc",1,0,0,"","","ems_data"
"fromare","LES","LES","LES",0,"l_wildcardArea",1,"arecod","lngdsc",1,0,0,"","","dcs_data"
"frscod","LES","LES","LES",0,"l_frscod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"frtchc","LES","LES","LES",0,"l_frtchc",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"frtcod","LES","LES","LES",0,"l_frtcod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"ftpcod","LES","bomdtlmnt","LES",0,"l_ftpcod_bommnt",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"ftpcod","LES","bommnt","LES",0,"l_ftpcod_bommnt",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"ftpcod","LES","identify","LES",0,"l_ftpcod_identify",1,"ftpcod","ftpcod",0,0,0,"","","dcs_data"
"ftpcod","LES","invdsp","LES",0,"NONE",0,"","",0,0,0,"","","dcs_data"
"ftpcod","LES","ordlinmnt","LES",0,"l_ftpcod_identify",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"ftpcod","LES","pcfdtlmnt","LES",0,"l_ftpcod",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"ftpcod","LES","wkodtlmnt","LES",0,"l_ftpcod_identify",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"ftpcod","LES","wkomnt","LES",0,"l_ftpcod",1,"ftpcod","ftpcod",1,0,0,"","","dcs_data"
"func","LES","ctlgeninbadaptertest","SEAMLES",0,"l_func",0,"","",0,0,0,"","","int_data"
"func","LES","LES","LES",0,"l_func",1,"","",0,0,0,"","","mcs_data"
"gantt_chart_owners_horizontal_align","LES","LES","LES",0,"l_horizontal_align",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"gantt_chart_owners_orientation","LES","LES","LES",0,"l_chart_orientation",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"gantt_chart_owners_vertical_align","LES","LES","LES",0,"l_vertical_align",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"GMT","LES","LES","LES",0,"l_GMT",1,"codval","lngdsc",1,0,0,"","","ems_GMT"
"graph_type","LES","frmChartMnt","LES",0,"l_graph_type",1,"","",0,0,0,"","","mcs_data"
"grid_pos","LES","LES","LES",0,"l_grid_pos",1,"codval","lngdsc",1,0,0,"","","mcs_data"
"grp_typ","LES","LES","LES",0,"l_grp_typ",1,"codval","lngdsc",0,0,0,"","","mcs_data"
"grpcod","LES","LES","LES",0,"l_grpcod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"grpopr","LES","LES","LES",0,"l_grpopr",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"grptyp","LES","LES","LES",0,"l_grptyp",1,"codval","lngdsc",1,0,0,"","","dcs_data"
