var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
"attr_flt2","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_flt2_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_flt3","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_flt3_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_int1","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_int1","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_int1_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_int2","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_int2","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_int2_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_int3","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_int3","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_int3_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_int4","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_int4","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_int4_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_int5","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_int5","LES","LES","LES",10,1,1,"C","",1,0,0,"","sal_data"
"attr_int5_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str1","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str1","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str1_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str10","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str10","LES","LES","LES",10,1,1,"C","",1,0,0,"","sal_data"
"attr_str10_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str10_flg","LES","LES","LES",10,1,1,"F","",1,0,0,"","dcs_data"
"attr_str11","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str11","LES","LES","LES",10,1,1,"C","",1,0,0,"","sal_data"
"attr_str11_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str12","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str12_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str13","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str13_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str14","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str14_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str15","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str15_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str16","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str16_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str17","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str17_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str18","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str18_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str2","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str2","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str2_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str2_flg","LES","LES","LES",10,1,1,"F","",1,0,0,"",""
"attr_str3","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str3","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str3_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str3_flg","LES","LES","LES",10,1,1,"F","",1,0,0,"",""
"attr_str4","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str4","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str4_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str5","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str5","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str5_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str6","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str6","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str6_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str7","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str7","LES","LES","LES",10,1,1,"C","",1,0,0,"","sal_data"
"attr_str7_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str8","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str8","LES","LES","LES",10,1,1,"C","",1,0,0,"",""
"attr_str8_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_str9","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_str9_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr1","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"attr2","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"attr3","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"attr4","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"attr5","LES","LES","LES",0,0,0,"","",1,0,0,"","dcs_data"
"aud_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"audcntflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"auddte","ddamgtopr","LES","LES",0,1,1,"DATERANGE","D",1,-1,-1,"","mcs_data"
"audit_settings","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"audit_thresh_cost","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"audiwarn","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aut_create_ord","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aut_gen_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aut_gen_flg","LES","ordlinmnt","LES",0,1,0,"F","",1,0,0,"","dcs_data"
"aut_gen_flg","LES","ordmnt","LES",0,1,0,"F","",1,0,0,"","dcs_data"
