dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"rptopr_btn","LES","SALMOCAReportOpr","LES",0,"A","rpt_id","cmd_rptopr_btn","","","sal_data"
"rptpreview_btn","LES","SALMOCAReportPreview","LES",0,"A","rpt_id","cmd_rptpreview_btn","","","sal_data"
"serassetfeatmnt_fld_ena_cfg","RPWEB","SERASSETFEATMNT","LES",0,"A","asset_id","set_ser_asset_id_fld_ena","","","dcsweb_data"
"set_def_img","LES","ctlUsrMnt","LES",0,"A","usr_id","authmnt_default_img","","","mcs_data"
"set_def_img","LES","identify","LES",0,"A","prtnum,prt_client_id,wh_id_tmpl","prtmst_default_img","","","dcs_data"
"set_def_img","LES","lblfmtmnt","LES",0,"A","lblfmt","lblfmt_default_img","","","sal_data"
"set_def_img","LES","prtmstmnt","LES",0,"A","prtnum,wh_id_tmpl,prt_client_id","prtmst_default_img","","","sal_data"
"set_def_img","retprcopr","retitem","LES",0,"A","prtnum,prt_client_id,wh_id_tmpl","prtmst_default_img","","","dcs_data"
"set_loc_coordinates","LES","locmstmnt","LES",0,"I","basepoint_id","set_loc_coordinates","","","dcs_data"
"set_par_uom_flg_visible","LES","compcfgmnt","LES",0,"A","lvl_colnam","cmd_set_par_uom_flg_visible","","","sal_data"
"shpCloseTrailer_fld_ena_cfg","LES","shpCloseTrailer","LES",0,"A","trlr_id","set_cnfrm_asset_tag_fld_ena","","","dcs_data"
"shpCloseTrailer_shp_track_num_cfg","LES","shpCloseTrailer","LES",0,"A","track_num","cmd_track_num_cfg","","","dcs_data"
"shpLoadTrailer_fld_ena_cfg","LES","shpLoadTrailer","LES",0,"A","trlr_id","set_cnfrm_asset_tag_fld_ena","","","dcs_data"
"stoloc_wh_id_cfg_c","LES","invdspmw","LES",0,"D","stoloc_wh_id","set_wh_framework_configuration","","","dcs_data"
