colnam,colval,locale_id,cust_lvl,mls_text,short_dsc,grp_nam
"dda_id","CUST_QUE_ST","DUTCH_HOLLAND",0,"Klantweergave","","dcs_service"
"dda_id","CUST_QUE_ST","US_ENGLISH",0,"Customer Display","","dcs_service"
"dda_id","DB-FLDLKUP","DUTCH_HOLLAND",0,"Veld opzoeken","","sal_data"
"dda_id","DB-FLDLKUP","US_ENGLISH",0,"Field Lookup","","sal_data"
"dda_id","DB-IDXLKP","DUTCH_HOLLAND",0,"Index opzoeken","","sal_data"
"dda_id","DB-IDXLKP","US_ENGLISH",0,"Index Lookup","","sal_data"
"dda_id","DB-TABLEDEF","DUTCH_HOLLAND",0,"Tabeldefinitie","","sal_data"
"dda_id","DB-TABLEDEF","US_ENGLISH",0,"Table Definition","","sal_data"
"dda_id","dlytrndsp","DUTCH_HOLLAND",0,"Weergave dagelijkse transactie","","dcs_data"
"dda_id","dlytrndsp","US_ENGLISH",0,"Daily Transaction Display","","dcs_data"
"dda_id","dockcapmnt","DUTCH_HOLLAND",0,"Onderhoud platformcapaciteit","","dcs_data"
"dda_id","dockcapmnt","US_ENGLISH",0,"Dock Capacity Maintenance","","dcs_data"
"dda_id","dockcapmntChange","DUTCH_HOLLAND",0,"Platformcapaciteit wijzigen","","dcs_data"
"dda_id","dockcapmntChange","US_ENGLISH",0,"Change Dock Capacity","","dcs_data"
"dda_id","dockcapmntCreate","DUTCH_HOLLAND",0,"Platformcapaciteit maken","","dcs_data"
"dda_id","dockcapmntCreate","US_ENGLISH",0,"Create Dock Capacity","","dcs_data"
"dda_id","dockcapmntRemove","DUTCH_HOLLAND",0,"Platformcapaciteit verwijderen","","dcs_data"
"dda_id","dockcapmntRemove","US_ENGLISH",0,"Delete Dock Capacity","","dcs_data"
"dda_id","DtRangePresetMnt","DUTCH_HOLLAND",0,"Onderhoud standaardinstellingen datumbereik","","mcs_data"
"dda_id","DtRangePresetMnt","US_ENGLISH",0,"Date Range Preset Maintenance","","mcs_data"
"dda_id","DtRangePresetMntChange","DUTCH_HOLLAND",0,"Standaardinstellingen datumbereik wijzigen","","mcs_data"
"dda_id","DtRangePresetMntChange","US_ENGLISH",0,"Change Date Range Preset","","mcs_data"
"dda_id","DtRangePresetMntCreate","DUTCH_HOLLAND",0,"Standaardinstellingen datumbereik maken","","mcs_data"
"dda_id","DtRangePresetMntCreate","US_ENGLISH",0,"Create Date Range Preset","","mcs_data"
"dda_id","DtRangePresetMntRemove","DUTCH_HOLLAND",0,"Standaardinstellingen datumbereik verwijderen","","mcs_data"
"dda_id","DtRangePresetMntRemove","US_ENGLISH",0,"Remove Date Range Preset","","mcs_data"
"dda_id","EQUIPMNT","DUTCH_HOLLAND",0,"Onderhoud apparatuur","","dcs_data"
"dda_id","EQUIPMNT","US_ENGLISH",0,"Equipment Maintenance","","dcs_data"
"dda_id","EQUIPMNTCHANGE","DUTCH_HOLLAND",0,"Apparatuur wijzigen","","dcs_data"
"dda_id","EQUIPMNTCHANGE","US_ENGLISH",0,"Change Equipment","","dcs_data"
"dda_id","EQUIPMNTCREATE","DUTCH_HOLLAND",0,"Apparatuur maken","","dcs_data"
"dda_id","EQUIPMNTCREATE","US_ENGLISH",0,"Create Equipment","","dcs_data"
"dda_id","EQUIPMNTREMOVE","DUTCH_HOLLAND",0,"Apparatuur verwijderen","","dcs_data"
"dda_id","EQUIPMNTREMOVE","US_ENGLISH",0,"Delete Equipment","","dcs_data"
"dda_id","ERRORED-LOC-DETAILS","DUTCH_HOLLAND",0,"Details locaties met fouten","","dcs_data"
"dda_id","ERRORED-LOC-DETAILS","US_ENGLISH",0,"Errored Location Details","","dcs_data"
"dda_id","EXITPNTDSP","DUTCH_HOLLAND",0,"Weergave uitgangspunt werkstroom","","dcs_data"
"dda_id","EXITPNTDSP","US_ENGLISH",0,"Workflow Exit Point Display","","dcs_data"
"dda_id","HLDHSTDSP","DUTCH_HOLLAND",0,"Weergave vasthoudhistorie","","dcs_service"
"dda_id","HLDHSTDSP","US_ENGLISH",0,"Hold History Display","","dcs_service"
"dda_id","HLDINVDSP","DUTCH_HOLLAND",0,"Weergave vastgehouden voorraad","","dcs_data"
"dda_id","HLDINVDSP","US_ENGLISH",0,"Held Inventory Display","","dcs_data"
"dda_id","INBSERVMNT","DUTCH_HOLLAND",0,"Weergave plan binnenkomende werkstroom","","dcs_data"
"dda_id","INBSERVMNT","US_ENGLISH",0,"Inbound Workflow Plan Display","","dcs_data"
"dda_id","INBSERVMNT-RCVINVSERV","DUTCH_HOLLAND",0,"Werking plan binnenkomende werkstroom","","dcs_data"
"dda_id","INBSERVMNT-RCVINVSERV","US_ENGLISH",0,"Inbound Workflow Plan Operation","","dcs_data"
"dda_id","INBSERVMNT-RCVLINSERV","DUTCH_HOLLAND",0,"Werking plan binnenkomende werkstroom","","dcs_data"
"dda_id","INBSERVMNT-RCVLINSERV","US_ENGLISH",0,"Inbound Workflow Plan Operation","","dcs_data"
"dda_id","INV_ASSETMNT","DUTCH_HOLLAND",0,"Aanvullend activum","","dcs_data"
"dda_id","INV_ASSETMNT","US_ENGLISH",0,"Additional Asset","","dcs_data"
"dda_id","INVADJ-DAY-PART","DUTCH_HOLLAND",0,"Voorraadaanpassingen per dag/item","","dcs_data"
"dda_id","INVADJ-DAY-PART","US_ENGLISH",0,"Inventory Adjustments by Day/Item","","dcs_data"
"dda_id","INVADJ-DAY-PART-LOC","DUTCH_HOLLAND",0,"Voorraadaanpassingen per dag/item/locatie","","dcs_data"
"dda_id","INVADJ-DAY-PART-LOC","US_ENGLISH",0,"Inventory Adjustments by Day/Item/Loc","","dcs_data"
"dda_id","INVADJ-MON-PART","DUTCH_HOLLAND",0,"Aanpassing maandelijkse voorraad","","dcs_data"
"dda_id","INVADJ-MON-PART","US_ENGLISH",0,"Monthly Inventory Adjustment","","dcs_data"
"dda_id","INVADJ-MON-PART-LOC","DUTCH_HOLLAND",0,"Voorraadaanpassingen per maand/locatie","","dcs_data"
"dda_id","INVADJ-MON-PART-LOC","US_ENGLISH",0,"Inventory Adjustments by Month/Location","","dcs_data"
