var_nam,appl_id,frm_id,addon_id,srt_seq,cust_lvl,lkp_id,ena_flg,ret_fld,inp_fld,mult_flg,grp_nam
"prtnum","rcvtrkopr","identify","LES",0,0,"l_prtnum_rcvid",1,"prtnum","prtnum",1,"dcs_data"
"prtsize","LES","invstschgopr","LES",0,0,"l_prtsize",1,"prtsize=codval","",0,"dcs_data"
"prtsize","LES","LES","LES",0,0,"l_prtsize",1,"prtsize=attr_codnam","",1,"sal_data"
"prtstyle","LES","invstschgopr","LES",0,0,"l_prtstyle",1,"prtstyle=codval","",0,"dcs_data"
"prtstyle","LES","LES","LES",0,0,"l_prtstyle",1,"prtstyle=attr_codnam","",1,"sal_data"
"r_to_ftpcod","dcsrdt","CLIENT_OWNSHP_CHG","LES",0,0,"r_ftpcod_lkp",1,"","",1,"dcs_rdt"
"rcv_id","dcsrdt","LES","LES",0,0,"r_rcv_id",1,"","",1,"dcs_rdt"
"rcv_rescod","LES","LES","LES",0,0,"l_rcv_rescod",1,"rcv_rescod","restyp,arecod",1,"dcs_data"
"rcv_rescod","LES","locdsp","LES",0,0,"l_rcv_rescod",0,"rcv_rescod","restyp,arecod",1,"dcs_data"
"rcv_rescod","LES","RCV-PLTBLD-MNT","LES",0,0,"l_rcvrescod",1,"rcv_rescod=new_colnam","",0,"dcs_data"
"rcv_yard_arecod","LES","LES","LES",0,0,"l_arecod_rcv_yrd",1,"","",1,"dcs_data"
"rcvdck","dcsrdt","LES","LES",0,0,"r_rcvdck",1,"","",1,"dcs_rdt"
"rcvdck","dcsrdt","UNDIR_IDENTIFY","LES",0,0,"r_avail_rcvdck",1,"","",1,"dcs_rdt"
"rcvuom","dcsrdt","IDENTIFY_LOAD","LES",0,0,"r_uomcod_identify",1,"","",1,"dcs_rdt"
